Movie-genres
Absurdist
Surreal
Whimsical
Action
Adventure
Comedy
Crime
Drama
Fantasy
Historical
Historical fiction
Horror
Magical realism
Mystery
Paranoid fiction
Philosophical
Political
Romance
Saga
Satire
Science fiction
Social
Speculative
Thriller
Urban
Western
