Movie-awards
BAFTA Film Award
Golden Globe Award
Miscellaneous Award
Oscar Award
Primetime Emmy Award
Grammy Award
Gotham Awards
People's Choice Awards
Hollywood Film Awards
National Board of Review
New York Film Critics Circle
Los Angeles Film Critics Association
National Society of Film Critics
Critics' Choice Movie Awards
Producers Guild of America Awards
Screen Actors Guild Awards
Malibu Film Festival Awards
Annie Awards
Directors Guild of America Awards
Satellite Awards
British Academy Film Awards
Writers Guild of America Awards
Independent Spirit Awards
Golden Raspberry Awards
USC Scripter Awards
Academy Awards
